"zcta5","county","cousubfp","cbsa","metdiv","cntyname","cousubnm","cbsaname","mdivname","zipname","pop10","afact"
"ZIP Census Tabulation Area","county","cousubfp","cbsa","metdiv","cntyname","County Subdivision Name","CBSA Name","Metro Div Name","zipname","Total Pop, 2010 census","zcta5 to metdiv alloc factor"
"63829","29069","09532","28380"," ","Dunklin MO","Buffalo township","Kennett, MO"," ","Cardwell, MO",1120,1 
"63830","29155","43382"," "," ","Pemiscot MO","Little Prairie township"," "," ","Caruthersville, MO",6916,0.974 
"63830","29155","56846"," "," ","Pemiscot MO","Pemiscot township"," "," ","Caruthersville, MO",186,0.026 
"63833","29143","15832"," "," ","New Madrid MO","Como township"," "," ","Catron, MO",129,0.533 
"63833","29143","41816"," "," ","New Madrid MO","Lewis township"," "," ","Catron, MO",4,0.017 
"63833","29143","52094"," "," ","New Madrid MO","New Madrid township"," "," ","Catron, MO",39,0.161 
"63833","29143","78478"," "," ","New Madrid MO","West township"," "," ","Catron, MO",11,0.045 
"63833","29207","21592"," "," ","Stoddard MO","Elk township"," "," ","Catron, MO",59,0.244 
"63834","29133","48926"," "," ","Mississippi MO","Mississippi township"," "," ","Charleston, MO",40,0.006 
"63834","29133","54128"," "," ","Mississippi MO","Ohio township"," "," ","Charleston, MO",132,0.019 
"63834","29133","64406"," "," ","Mississippi MO","St. James township"," "," ","Charleston, MO",104,0.015 
"63834","29133","74392"," "," ","Mississippi MO","Tywappity township"," "," ","Charleston, MO",6471,0.907 
"63834","29133","80674"," "," ","Mississippi MO","Wolf Island township"," "," ","Charleston, MO",3,0 
"63834","29201","15778","43460"," ","Scott MO","Commerce township","Sikeston, MO"," ","Charleston, MO",2,0 
"63834","29201","74410","43460"," ","Scott MO","Tywappity township","Sikeston, MO"," ","Charleston, MO",383,0.054 
"63837","29069","25804","28380"," ","Dunklin MO","Freeborn township","Kennett, MO"," ","Clarkton, MO",1645,0.995 
"63837","29069","32554","28380"," ","Dunklin MO","Holcomb township","Kennett, MO"," ","Clarkton, MO",8,0.005 
"63839","29155","16354"," "," ","Pemiscot MO","Cooter township"," "," ","Cooter, MO",485,1 
"63841","29207","11980"," "," ","Stoddard MO","Castor township"," "," ","Dexter, MO",1085,0.083 
"63841","29207","21592"," "," ","Stoddard MO","Elk township"," "," ","Dexter, MO",53,0.004 
"63841","29207","42356"," "," ","Stoddard MO","Liberty township"," "," ","Dexter, MO",11913,0.908 
"63841","29207","61616"," "," ","Stoddard MO","Richland township"," "," ","Dexter, MO",72,0.005 
"63845","29133","36278"," "," ","Mississippi MO","James Bayou township"," "," ","East Prairie, MO",87,0.015 
"63845","29133","43886"," "," ","Mississippi MO","Long Prairie township"," "," ","East Prairie, MO",177,0.03 
"63845","29133","48926"," "," ","Mississippi MO","Mississippi township"," "," ","East Prairie, MO",1,0 
"63845","29133","64406"," "," ","Mississippi MO","St. James township"," "," ","East Prairie, MO",5370,0.924 
"63845","29133","74392"," "," ","Mississippi MO","Tywappity township"," "," ","East Prairie, MO",4,0.001 
"63845","29133","80674"," "," ","Mississippi MO","Wolf Island township"," "," ","East Prairie, MO",102,0.018 
"63845","29143","64460"," "," ","New Madrid MO","St. John township"," "," ","East Prairie, MO",73,0.013 
"63846","29207","11980"," "," ","Stoddard MO","Castor township"," "," ","Essex, MO",253,0.163 
"63846","29207","21592"," "," ","Stoddard MO","Elk township"," "," ","Essex, MO",70,0.045 
"63846","29207","61616"," "," ","Stoddard MO","Richland township"," "," ","Essex, MO",1231,0.792 
"63847","29069","32554","28380"," ","Dunklin MO","Holcomb township","Kennett, MO"," ","Gibson, MO (PO Boxes)",64,1 
"63848","29143","01234"," "," ","New Madrid MO","Anderson township"," "," ","Gideon, MO",1436,0.902 
"63848","29143","15832"," "," ","New Madrid MO","Como township"," "," ","Gideon, MO",22,0.014 
"63848","29143","59132"," "," ","New Madrid MO","Portage township"," "," ","Gideon, MO",107,0.067 
"63848","29155","43400"," "," ","Pemiscot MO","Little River township"," "," ","Gideon, MO",27,0.017 
"63849","29069","14338","28380"," ","Dunklin MO","Clay township","Kennett, MO"," ","Gobler, MO (PO Boxes)",98,0.527 
"63849","29069","34390","28380"," ","Dunklin MO","Independence township","Kennett, MO"," ","Gobler, MO (PO Boxes)",1,0.005 
"63849","29155","07858"," "," ","Pemiscot MO","Braggadocio township"," "," ","Gobler, MO (PO Boxes)",87,0.468 
"63851","29155","07858"," "," ","Pemiscot MO","Braggadocio township"," "," ","Hayti, MO",51,0.012 
