"zcta5","county","cousubfp","cbsa","metdiv","cntyname","cousubnm","cbsaname","mdivname","zipname","pop10","afact"
"ZIP Census Tabulation Area","county","cousubfp","cbsa","metdiv","cntyname","County Subdivision Name","CBSA Name","Metro Div Name","zipname","Total Pop, 2010 census","zcta5 to metdiv alloc factor"
"51640","29005","09244"," "," ","Atchison MO","Buchanan township"," "," ","Hamburg, IA",11,1 
"52542","29199","37466"," "," ","Scotland MO","Johnson township"," "," ","Cantril, IA",23,0.575 
"52542","29199","74986"," "," ","Scotland MO","Union township"," "," ","Cantril, IA",17,0.425 
"52573","29199","37466"," "," ","Scotland MO","Johnson township"," "," ","Mount Sterling, IA",25,1 
"52626","29045","24922","22800"," ","Clark MO","Folker township","Fort Madison-Keokuk, IA-IL-MO"," ","Farmington, IA",27,0.267 
"52626","29045","28414","22800"," ","Clark MO","Grant township","Fort Madison-Keokuk, IA-IL-MO"," ","Farmington, IA",74,0.733 
"63005","29189","13605","41180"," ","St. Louis MO","Chesterfield township","St. Louis, MO-IL"," ","Chesterfield, MO",17753,1 
"63010","29099","01975","41180"," ","Jefferson MO","Arnold township","St. Louis, MO-IL"," ","Arnold, MO",20808,0.587 
"63010","29099","34358","41180"," ","Jefferson MO","Imperial township","St. Louis, MO-IL"," ","Arnold, MO",211,0.006 
"63010","29099","62552","41180"," ","Jefferson MO","Rock township","St. Louis, MO-IL"," ","Arnold, MO",731,0.021 
"63010","29099","80370","41180"," ","Jefferson MO","Windsor township","St. Louis, MO-IL"," ","Arnold, MO",13689,0.386 
"63011","29189","13605","41180"," ","St. Louis MO","Chesterfield township","St. Louis, MO-IL"," ","Ballwin, MO",3002,0.083 
"63011","29189","39682","41180"," ","St. Louis MO","Lafayette township","St. Louis, MO-IL"," ","Ballwin, MO",17354,0.477 
"63011","29189","48989","41180"," ","St. Louis MO","Missouri River township","St. Louis, MO-IL"," ","Ballwin, MO",4744,0.131 
"63011","29189","60363","41180"," ","St. Louis MO","Queeny township","St. Louis, MO-IL"," ","Ballwin, MO",1,0 
"63011","29189","79801","41180"," ","St. Louis MO","Wildhorse township","St. Louis, MO-IL"," ","Ballwin, MO",11246,0.309 
"63012","29099","34358","41180"," ","Jefferson MO","Imperial township","St. Louis, MO-IL"," ","Barnhart, MO",8761,0.878 
"63012","29099","37340","41180"," ","Jefferson MO","Joachim township","St. Louis, MO-IL"," ","Barnhart, MO",778,0.078 
"63012","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Barnhart, MO",138,0.014 
"63012","29099","80370","41180"," ","Jefferson MO","Windsor township","St. Louis, MO-IL"," ","Barnhart, MO",296,0.03 
"63013","29071","07192","41180"," ","Franklin MO","Boone township","St. Louis, MO-IL"," ","Beaufort, MO",102,0.064 
"63013","29071","44714","41180"," ","Franklin MO","Lyon township","St. Louis, MO-IL"," ","Beaufort, MO",631,0.397 
"63013","29071","74644","41180"," ","Franklin MO","Union township","St. Louis, MO-IL"," ","Beaufort, MO",856,0.539 
"63014","29071","06796","41180"," ","Franklin MO","Boeuf township","St. Louis, MO-IL"," ","Berger, MO",688,0.883 
"63014","29073","62336"," "," ","Gasconade MO","Roark township"," "," ","Berger, MO",91,0.117 
"63015","29071","10630","41180"," ","Franklin MO","Calvey township","St. Louis, MO-IL"," ","Catawissa, MO",1631,0.786 
"63015","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Catawissa, MO",445,0.214 
"63016","29099","05554","41180"," ","Jefferson MO","Big River township","St. Louis, MO-IL"," ","Cedar Hill, MO",363,0.048 
"63016","29099","12790","41180"," ","Jefferson MO","Central township","St. Louis, MO-IL"," ","Cedar Hill, MO",77,0.01 
"63016","29099","32144","41180"," ","Jefferson MO","High Ridge township","St. Louis, MO-IL"," ","Cedar Hill, MO",1009,0.133 
"63016","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Cedar Hill, MO",6133,0.809 
"63017","29189","13605","41180"," ","St. Louis MO","Chesterfield township","St. Louis, MO-IL"," ","Chesterfield, MO",11813,0.285 
"63017","29189","39682","41180"," ","St. Louis MO","Lafayette township","St. Louis, MO-IL"," ","Chesterfield, MO",16157,0.39 
"63017","29189","46590","41180"," ","St. Louis MO","Maryland Heights township","St. Louis, MO-IL"," ","Chesterfield, MO",6773,0.163 
"63017","29189","48989","41180"," ","St. Louis MO","Missouri River township","St. Louis, MO-IL"," ","Chesterfield, MO",6727,0.162 
"63019","29099","37340","41180"," ","Jefferson MO","Joachim township","St. Louis, MO-IL"," ","Crystal City, MO",10,0.002 
"63019","29099","62179","41180"," ","Jefferson MO","River View township","St. Louis, MO-IL"," ","Crystal City, MO",4439,0.998 
"63020","29099","05554","41180"," ","Jefferson MO","Big River township","St. Louis, MO-IL"," ","De Soto, MO",908,0.044 
"63020","29099","12790","41180"," ","Jefferson MO","Central township","St. Louis, MO-IL"," ","De Soto, MO",1722,0.083 
"63020","29099","58232","41180"," ","Jefferson MO","Plattin township","St. Louis, MO-IL"," ","De Soto, MO",2923,0.141 
"63020","29099","75400","41180"," ","Jefferson MO","Valle township","St. Louis, MO-IL"," ","De Soto, MO",15114,0.73 
"63020","29221","38882"," "," ","Washington MO","Kingston township"," "," ","De Soto, MO",47,0.002 
"63021","29189","39682","41180"," ","St. Louis MO","Lafayette township","St. Louis, MO-IL"," ","Ballwin, MO",2,0 
"63021","29189","47450","41180"," ","St. Louis MO","Meramec township","St. Louis, MO-IL"," ","Ballwin, MO",10939,0.194 
"63021","29189","48989","41180"," ","St. Louis MO","Missouri River township","St. Louis, MO-IL"," ","Ballwin, MO",980,0.017 
"63021","29189","60363","41180"," ","St. Louis MO","Queeny township","St. Louis, MO-IL"," ","Ballwin, MO",28758,0.511 
"63021","29189","79801","41180"," ","St. Louis MO","Wildhorse township","St. Louis, MO-IL"," ","Ballwin, MO",15582,0.277 
"63023","29099","05554","41180"," ","Jefferson MO","Big River township","St. Louis, MO-IL"," ","Dittmer, MO",4157,0.713 
"63023","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Dittmer, MO",1674,0.287 
"63025","29099","32144","41180"," ","Jefferson MO","High Ridge township","St. Louis, MO-IL"," ","Eureka, MO",297,0.021 
"63025","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Eureka, MO",2386,0.172 
"63025","29189","47450","41180"," ","St. Louis MO","Meramec township","St. Louis, MO-IL"," ","Eureka, MO",11171,0.806 
"63026","29099","62552","41180"," ","Jefferson MO","Rock township","St. Louis, MO-IL"," ","Fenton, MO",20097,0.455 
"63026","29189","07066","41180"," ","St. Louis MO","Bonhomme township","St. Louis, MO-IL"," ","Fenton, MO",9031,0.205 
"63026","29189","47450","41180"," ","St. Louis MO","Meramec township","St. Louis, MO-IL"," ","Fenton, MO",14996,0.34 
"63028","29099","12790","41180"," ","Jefferson MO","Central township","St. Louis, MO-IL"," ","Festus, MO",705,0.027 
"63028","29099","37340","41180"," ","Jefferson MO","Joachim township","St. Louis, MO-IL"," ","Festus, MO",5365,0.203 
"63028","29099","58232","41180"," ","Jefferson MO","Plattin township","St. Louis, MO-IL"," ","Festus, MO",8433,0.319 
"63028","29099","62179","41180"," ","Jefferson MO","River View township","St. Louis, MO-IL"," ","Festus, MO",11262,0.426 
"63028","29099","75400","41180"," ","Jefferson MO","Valle township","St. Louis, MO-IL"," ","Festus, MO",6,0 
"63028","29186","36098"," "," ","Ste. Genevieve MO","Jackson township"," "," ","Festus, MO",642,0.024 
"63030","29221","38882"," "," ","Washington MO","Kingston township"," "," ","Fletcher, MO",94,0.231 
"63030","29221","61814"," "," ","Washington MO","Richwoods township"," "," ","Fletcher, MO",313,0.769 
"63031","29189","24004","41180"," ","St. Louis MO","Ferguson township","St. Louis, MO-IL"," ","Florissant, MO",1234,0.026 
"63031","29189","24796","41180"," ","St. Louis MO","Florissant township","St. Louis, MO-IL"," ","Florissant, MO",13536,0.281 
"63031","29189","41825","41180"," ","St. Louis MO","Lewis and Clark township","St. Louis, MO-IL"," ","Florissant, MO",23188,0.481 
"63031","29189","53360","41180"," ","St. Louis MO","Northwest township","St. Louis, MO-IL"," ","Florissant, MO",10254,0.213 
"63033","29189","24004","41180"," ","St. Louis MO","Ferguson township","St. Louis, MO-IL"," ","Florissant, MO",9406,0.219 
"63033","29189","24796","41180"," ","St. Louis MO","Florissant township","St. Louis, MO-IL"," ","Florissant, MO",18054,0.42 
"63033","29189","69284","41180"," ","St. Louis MO","Spanish Lake township","St. Louis, MO-IL"," ","Florissant, MO",15540,0.361 
"63034","29189","41825","41180"," ","St. Louis MO","Lewis and Clark township","St. Louis, MO-IL"," ","Old Jamestown, MO",9410,0.53 
"63034","29189","69284","41180"," ","St. Louis MO","Spanish Lake township","St. Louis, MO-IL"," ","Old Jamestown, MO",8351,0.47 
"63036","29186","36098"," "," ","Ste. Genevieve MO","Jackson township"," "," ","French Village, MO",176,0.165 
"63036","29187","46154","22100"," ","St. Francois MO","Marion township","Farmington, MO"," ","French Village, MO",888,0.835 
"63037","29071","07192","41180"," ","Franklin MO","Boone township","St. Louis, MO-IL"," ","Gerald, MO",2420,0.747 
"63037","29071","44714","41180"," ","Franklin MO","Lyon township","St. Louis, MO-IL"," ","Gerald, MO",821,0.253 
"63038","29189","13605","41180"," ","St. Louis MO","Chesterfield township","St. Louis, MO-IL"," ","Wildwood, MO",5451,0.788 
"63038","29189","79801","41180"," ","St. Louis MO","Wildhorse township","St. Louis, MO-IL"," ","Wildwood, MO",1463,0.212 
"63039","29071","06958","41180"," ","Franklin MO","Boles township","St. Louis, MO-IL"," ","Gray Summit, MO",726,1 
"63040","29189","13605","41180"," ","St. Louis MO","Chesterfield township","St. Louis, MO-IL"," ","Wildwood, MO",78,0.009 
"63040","29189","79801","41180"," ","St. Louis MO","Wildhorse township","St. Louis, MO-IL"," ","Wildwood, MO",8434,0.991 
"63041","29071","59528","41180"," ","Franklin MO","Prairie township","St. Louis, MO-IL"," ","Grubville, MO",443,0.83 
"63041","29099","05554","41180"," ","Jefferson MO","Big River township","St. Louis, MO-IL"," ","Grubville, MO",91,0.17 
"63042","29189","00406","41180"," ","St. Louis MO","Airport township","St. Louis, MO-IL"," ","Hazelwood, MO",2834,0.145 
"63042","29189","24004","41180"," ","St. Louis MO","Ferguson township","St. Louis, MO-IL"," ","Hazelwood, MO",1776,0.091 
"63042","29189","24796","41180"," ","St. Louis MO","Florissant township","St. Louis, MO-IL"," ","Hazelwood, MO",3047,0.155 
"63042","29189","41825","41180"," ","St. Louis MO","Lewis and Clark township","St. Louis, MO-IL"," ","Hazelwood, MO",4619,0.236 
"63042","29189","53360","41180"," ","St. Louis MO","Northwest township","St. Louis, MO-IL"," ","Hazelwood, MO",7326,0.374 
"63043","29189","00406","41180"," ","St. Louis MO","Airport township","St. Louis, MO-IL"," ","Maryland Heights, MO",2586,0.116 
"63043","29189","46590","41180"," ","St. Louis MO","Maryland Heights township","St. Louis, MO-IL"," ","Maryland Heights, MO",12265,0.548 
"63043","29189","47918","41180"," ","St. Louis MO","Midland township","St. Louis, MO-IL"," ","Maryland Heights, MO",9,0 
"63043","29189","53360","41180"," ","St. Louis MO","Northwest township","St. Louis, MO-IL"," ","Maryland Heights, MO",7507,0.336 
"63044","29189","00406","41180"," ","St. Louis MO","Airport township","St. Louis, MO-IL"," ","Bridgeton, MO",3428,0.324 
"63044","29189","53360","41180"," ","St. Louis MO","Northwest township","St. Louis, MO-IL"," ","Bridgeton, MO",7140,0.676 
"63045","29189","53360","41180"," ","St. Louis MO","Northwest township","St. Louis, MO-IL"," ","Earth City, MO",3,1 
"63047","29099","37340","41180"," ","Jefferson MO","Joachim township","St. Louis, MO-IL"," ","Hematite, MO (PO Boxes)",31,1 
"63048","29099","37340","41180"," ","Jefferson MO","Joachim township","St. Louis, MO-IL"," ","Herculaneum, MO",2491,0.742 
"63048","29099","62179","41180"," ","Jefferson MO","River View township","St. Louis, MO-IL"," ","Herculaneum, MO",866,0.258 
"63049","29099","32144","41180"," ","Jefferson MO","High Ridge township","St. Louis, MO-IL"," ","High Ridge, MO",9300,0.585 
"63049","29099","62552","41180"," ","Jefferson MO","Rock township","St. Louis, MO-IL"," ","High Ridge, MO",6389,0.402 
"63049","29189","47450","41180"," ","St. Louis MO","Meramec township","St. Louis, MO-IL"," ","High Ridge, MO",207,0.013 
"63050","29099","05554","41180"," ","Jefferson MO","Big River township","St. Louis, MO-IL"," ","Hillsboro, MO",944,0.06 
"63050","29099","12790","41180"," ","Jefferson MO","Central township","St. Louis, MO-IL"," ","Hillsboro, MO",11403,0.726 
"63050","29099","37340","41180"," ","Jefferson MO","Joachim township","St. Louis, MO-IL"," ","Hillsboro, MO",2725,0.173 
"63050","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Hillsboro, MO",644,0.041 
"63051","29099","32144","41180"," ","Jefferson MO","High Ridge township","St. Louis, MO-IL"," ","House Springs, MO",8250,0.569 
"63051","29099","34358","41180"," ","Jefferson MO","Imperial township","St. Louis, MO-IL"," ","House Springs, MO",328,0.023 
"63051","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","House Springs, MO",4729,0.326 
"63051","29099","62552","41180"," ","Jefferson MO","Rock township","St. Louis, MO-IL"," ","House Springs, MO",1188,0.082 
"63052","29099","34358","41180"," ","Jefferson MO","Imperial township","St. Louis, MO-IL"," ","Imperial, MO",15195,0.575 
"63052","29099","62552","41180"," ","Jefferson MO","Rock township","St. Louis, MO-IL"," ","Imperial, MO",3055,0.116 
"63052","29099","80370","41180"," ","Jefferson MO","Windsor township","St. Louis, MO-IL"," ","Imperial, MO",8181,0.31 
"63053","29099","80370","41180"," ","Jefferson MO","Windsor township","St. Louis, MO-IL"," ","Kimmswick, MO",62,1 
"63055","29071","06958","41180"," ","Franklin MO","Boles township","St. Louis, MO-IL"," ","Labadie, MO",2430,0.992 
"63055","29071","64496","41180"," ","Franklin MO","St. Johns township","St. Louis, MO-IL"," ","Labadie, MO",19,0.008 
"63056","29071","07192","41180"," ","Franklin MO","Boone township","St. Louis, MO-IL"," ","Leslie, MO",1046,0.522 
"63056","29071","44714","41180"," ","Franklin MO","Lyon township","St. Louis, MO-IL"," ","Leslie, MO",793,0.396 
"63056","29071","47396","41180"," ","Franklin MO","Meramec township","St. Louis, MO-IL"," ","Leslie, MO",163,0.081 
"63057","29099","34358","41180"," ","Jefferson MO","Imperial township","St. Louis, MO-IL"," ","Barnhart, MO",56,1 
"63060","29071","10630","41180"," ","Franklin MO","Calvey township","St. Louis, MO-IL"," ","Lonedell, MO",31,0.013 
"63060","29071","59528","41180"," ","Franklin MO","Prairie township","St. Louis, MO-IL"," ","Lonedell, MO",2430,0.987 
"63061","29071","59528","41180"," ","Franklin MO","Prairie township","St. Louis, MO-IL"," ","Luebbering, MO",95,1 
"63068","29071","06796","41180"," ","Franklin MO","Boeuf township","St. Louis, MO-IL"," ","New Haven, MO",1330,0.271 
"63068","29071","44714","41180"," ","Franklin MO","Lyon township","St. Louis, MO-IL"," ","New Haven, MO",1415,0.288 
"63068","29071","51932","41180"," ","Franklin MO","New Haven township","St. Louis, MO-IL"," ","New Haven, MO",2089,0.426 
"63068","29073","06814"," "," ","Gasconade MO","Boeuf township"," "," ","New Haven, MO",75,0.015 
"63069","29071","06958","41180"," ","Franklin MO","Boles township","St. Louis, MO-IL"," ","Pacific, MO",9392,0.6 
"63069","29071","10630","41180"," ","Franklin MO","Calvey township","St. Louis, MO-IL"," ","Pacific, MO",968,0.062 
"63069","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Pacific, MO",2043,0.131 
"63069","29189","13605","41180"," ","St. Louis MO","Chesterfield township","St. Louis, MO-IL"," ","Pacific, MO",885,0.057 
"63069","29189","47450","41180"," ","St. Louis MO","Meramec township","St. Louis, MO-IL"," ","Pacific, MO",2359,0.151 
"63070","29099","37340","41180"," ","Jefferson MO","Joachim township","St. Louis, MO-IL"," ","Pevely, MO",7438,1 
"63071","29221","38882"," "," ","Washington MO","Kingston township"," "," ","Richwoods, MO",12,0.011 
"63071","29221","61814"," "," ","Washington MO","Richwoods township"," "," ","Richwoods, MO",1091,0.989 
"63072","29071","06958","41180"," ","Franklin MO","Boles township","St. Louis, MO-IL"," ","Robertsville, MO",97,0.03 
"63072","29071","10630","41180"," ","Franklin MO","Calvey township","St. Louis, MO-IL"," ","Robertsville, MO",2652,0.83 
"63072","29071","59528","41180"," ","Franklin MO","Prairie township","St. Louis, MO-IL"," ","Robertsville, MO",311,0.097 
"63072","29099","05554","41180"," ","Jefferson MO","Big River township","St. Louis, MO-IL"," ","Robertsville, MO",134,0.042 
"63073","29071","06958","41180"," ","Franklin MO","Boles township","St. Louis, MO-IL"," ","Saint Albans, MO (PO Boxes)",301,1 
"63074","29189","00406","41180"," ","St. Louis MO","Airport township","St. Louis, MO-IL"," ","St. Ann, MO",11299,0.745 
"63074","29189","47918","41180"," ","St. Louis MO","Midland township","St. Louis, MO-IL"," ","St. Ann, MO",3850,0.254 
"63074","29189","53360","41180"," ","St. Louis MO","Northwest township","St. Louis, MO-IL"," ","St. Ann, MO",15,0.001 
"63077","29071","10630","41180"," ","Franklin MO","Calvey township","St. Louis, MO-IL"," ","Saint Clair, MO",80,0.007 
"63077","29071","12754","41180"," ","Franklin MO","Central township","St. Louis, MO-IL"," ","Saint Clair, MO",10773,0.913 
"63077","29071","47396","41180"," ","Franklin MO","Meramec township","St. Louis, MO-IL"," ","Saint Clair, MO",366,0.031 
"63077","29071","59528","41180"," ","Franklin MO","Prairie township","St. Louis, MO-IL"," ","Saint Clair, MO",579,0.049 
"63079","29071","47396","41180"," ","Franklin MO","Meramec township","St. Louis, MO-IL"," ","Stanton, MO (PO Boxes)",58,1 
"63080","29055","07156"," "," ","Crawford MO","Boone township"," "," ","Sullivan, MO",2092,0.15 
"63080","29071","07192","41180"," ","Franklin MO","Boone township","St. Louis, MO-IL"," ","Sullivan, MO",1652,0.118 
"63080","29071","12754","41180"," ","Franklin MO","Central township","St. Louis, MO-IL"," ","Sullivan, MO",49,0.004 
"63080","29071","47396","41180"," ","Franklin MO","Meramec township","St. Louis, MO-IL"," ","Sullivan, MO",8795,0.629 
"63080","29071","59528","41180"," ","Franklin MO","Prairie township","St. Louis, MO-IL"," ","Sullivan, MO",176,0.013 
"63080","29221","37484"," "," ","Washington MO","Johnson township"," "," ","Sullivan, MO",1071,0.077 
"63080","29221","61814"," "," ","Washington MO","Richwoods township"," "," ","Sullivan, MO",152,0.011 
"63084","29071","12754","41180"," ","Franklin MO","Central township","St. Louis, MO-IL"," ","Union, MO",3232,0.186 
"63084","29071","74644","41180"," ","Franklin MO","Union township","St. Louis, MO-IL"," ","Union, MO",14182,0.814 
"63087","29099","58232","41180"," ","Jefferson MO","Plattin township","St. Louis, MO-IL"," ","Valles Mines, MO",63,0.082 
"63087","29187","05590","22100"," ","St. Francois MO","Big River township","Farmington, MO"," ","Valles Mines, MO",262,0.341 
"63087","29187","46154","22100"," ","St. Francois MO","Marion township","Farmington, MO"," ","Valles Mines, MO",444,0.577 
"63088","29189","47450","41180"," ","St. Louis MO","Meramec township","St. Louis, MO-IL"," ","Valley Park, MO",59,0.007 
"63088","29189","60363","41180"," ","St. Louis MO","Queeny township","St. Louis, MO-IL"," ","Valley Park, MO",8210,0.993 
"63089","29071","06958","41180"," ","Franklin MO","Boles township","St. Louis, MO-IL"," ","Villa Ridge, MO",5162,0.865 
"63089","29071","64496","41180"," ","Franklin MO","St. Johns township","St. Louis, MO-IL"," ","Villa Ridge, MO",9,0.002 
"63089","29071","74644","41180"," ","Franklin MO","Union township","St. Louis, MO-IL"," ","Villa Ridge, MO",794,0.133 
"63090","29071","06796","41180"," ","Franklin MO","Boeuf township","St. Louis, MO-IL"," ","Washington, MO",228,0.011 
"63090","29071","44714","41180"," ","Franklin MO","Lyon township","St. Louis, MO-IL"," ","Washington, MO",156,0.007 
"63090","29071","64496","41180"," ","Franklin MO","St. Johns township","St. Louis, MO-IL"," ","Washington, MO",5050,0.235 
"63090","29071","74644","41180"," ","Franklin MO","Union township","St. Louis, MO-IL"," ","Washington, MO",2108,0.098 
"63090","29071","77434","41180"," ","Franklin MO","Washington township","St. Louis, MO-IL"," ","Washington, MO",13982,0.65 
"63091","29071","07192","41180"," ","Franklin MO","Boone township","St. Louis, MO-IL"," ","Rosebud, MO",165,0.131 
"63091","29073","06814"," "," ","Gasconade MO","Boeuf township"," "," ","Rosebud, MO",67,0.053 
"63091","29073","09100"," "," ","Gasconade MO","Brush Creek township"," "," ","Rosebud, MO",11,0.009 
"63091","29073","11008"," "," ","Gasconade MO","Canaan township"," "," ","Rosebud, MO",1021,0.808 
"63101","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",2620,1 
"63102","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",2316,1 
"63103","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",6900,1 
"63104","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",18656,1 
"63105","29189","14590","41180"," ","St. Louis MO","Clayton township","St. Louis, MO-IL"," ","Clayton, MO",6160,0.349 
"63105","29189","29818","41180"," ","St. Louis MO","Hadley township","St. Louis, MO-IL"," ","Clayton, MO",10384,0.588 
"63105","29189","75210","41180"," ","St. Louis MO","University township","St. Louis, MO-IL"," ","Clayton, MO",69,0.004 
"63105","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","Clayton, MO",1054,0.06 
"63106","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",11883,1 
"63107","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",11912,1 
"63108","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",21568,1 
"63109","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",26946,1 
"63110","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",17107,1 
"63111","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",20313,1 
"63112","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",20368,1 
"63113","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",13167,1 
"63114","29189","00406","41180"," ","St. Louis MO","Airport township","St. Louis, MO-IL"," ","Overland, MO",4611,0.127 
"63114","29189","47918","41180"," ","St. Louis MO","Midland township","St. Louis, MO-IL"," ","Overland, MO",29860,0.825 
"63114","29189","52814","41180"," ","St. Louis MO","Normandy township","St. Louis, MO-IL"," ","Overland, MO",1014,0.028 
"63114","29189","75210","41180"," ","St. Louis MO","University township","St. Louis, MO-IL"," ","Overland, MO",716,0.02 
"63115","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",20775,1 
"63116","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",43540,1 
"63117","29189","14590","41180"," ","St. Louis MO","Clayton township","St. Louis, MO-IL"," ","Richmond Heights, MO",1784,0.195 
"63117","29189","29818","41180"," ","St. Louis MO","Hadley township","St. Louis, MO-IL"," ","Richmond Heights, MO",6785,0.74 
"63117","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","Richmond Heights, MO",594,0.065 
"63118","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",26704,1 
"63119","29189","07066","41180"," ","St. Louis MO","Bonhomme township","St. Louis, MO-IL"," ","Webster Groves, MO",324,0.01 
"63119","29189","14590","41180"," ","St. Louis MO","Clayton township","St. Louis, MO-IL"," ","Webster Groves, MO",5123,0.151 
"63119","29189","28792","41180"," ","St. Louis MO","Gravois township","St. Louis, MO-IL"," ","Webster Groves, MO",177,0.005 
"63119","29189","36962","41180"," ","St. Louis MO","Jefferson township","St. Louis, MO-IL"," ","Webster Groves, MO",28027,0.825 
"63119","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","Webster Groves, MO",318,0.009 
"63120","29189","52814","41180"," ","St. Louis MO","Normandy township","St. Louis, MO-IL"," ","St. Louis, MO",1186,0.115 
"63120","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","St. Louis, MO",9110,0.885 
"63121","29189","00406","41180"," ","St. Louis MO","Airport township","St. Louis, MO-IL"," ","Northwoods, MO",1193,0.045 
"63121","29189","47918","41180"," ","St. Louis MO","Midland township","St. Louis, MO-IL"," ","Northwoods, MO",21,0.001 
"63121","29189","52814","41180"," ","St. Louis MO","Normandy township","St. Louis, MO-IL"," ","Northwoods, MO",21874,0.822 
"63121","29189","53448","41180"," ","St. Louis MO","Norwood township","St. Louis, MO-IL"," ","Northwoods, MO",240,0.009 
"63121","29189","75210","41180"," ","St. Louis MO","University township","St. Louis, MO-IL"," ","Northwoods, MO",3274,0.123 
"63122","29189","07066","41180"," ","St. Louis MO","Bonhomme township","St. Louis, MO-IL"," ","Kirkwood, MO",26485,0.688 
"63122","29189","14590","41180"," ","St. Louis MO","Clayton township","St. Louis, MO-IL"," ","Kirkwood, MO",1420,0.037 
"63122","29189","28792","41180"," ","St. Louis MO","Gravois township","St. Louis, MO-IL"," ","Kirkwood, MO",1010,0.026 
"63122","29189","36962","41180"," ","St. Louis MO","Jefferson township","St. Louis, MO-IL"," ","Kirkwood, MO",7873,0.205 
"63122","29189","48989","41180"," ","St. Louis MO","Missouri River township","St. Louis, MO-IL"," ","Kirkwood, MO",1011,0.026 
"63122","29189","60363","41180"," ","St. Louis MO","Queeny township","St. Louis, MO-IL"," ","Kirkwood, MO",696,0.018 
"63123","29189","16048","41180"," ","St. Louis MO","Concord township","St. Louis, MO-IL"," ","Affton, MO",26924,0.546 
"63123","29189","28792","41180"," ","St. Louis MO","Gravois township","St. Louis, MO-IL"," ","Affton, MO",18645,0.378 
"63123","29189","41456","41180"," ","St. Louis MO","Lemay township","St. Louis, MO-IL"," ","Affton, MO",1487,0.03 
"63123","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","Affton, MO",2252,0.046 
"63124","29189","14590","41180"," ","St. Louis MO","Clayton township","St. Louis, MO-IL"," ","Ladue, MO",10157,0.975 
"63124","29189","17290","41180"," ","St. Louis MO","Creve Coeur township","St. Louis, MO-IL"," ","Ladue, MO",31,0.003 
"63124","29189","36962","41180"," ","St. Louis MO","Jefferson township","St. Louis, MO-IL"," ","Ladue, MO",14,0.001 
"63124","29189","75210","41180"," ","St. Louis MO","University township","St. Louis, MO-IL"," ","Ladue, MO",215,0.021 
"63125","29189","41456","41180"," ","St. Louis MO","Lemay township","St. Louis, MO-IL"," ","Lemay, MO",31842,0.989 
"63125","29189","72794","41180"," ","St. Louis MO","Tesson Ferry township","St. Louis, MO-IL"," ","Lemay, MO",1,0 
"63125","29510","65000","41180"," ","St. Louis city MO","St. Louis city","St. Louis, MO-IL"," ","Lemay, MO",358,0.011 
"63126","29189","16048","41180"," ","St. Louis MO","Concord township","St. Louis, MO-IL"," ","Crestwood, MO",2589,0.171 
