psraid,sample,lang,fips,state,cregion,usr,pial1a,pial1b,pial1c,pial1d,smart1,pial2,pial3a,pial3b,pial3c,pial4a,pial4b,pial4c,pial4d,pial5,pial6m1,pial6m2,pial6m3,pial6m4,SmartPhone,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,raceos,weight,standwt
201751,2,1,35001,35,4,S, ,2,2,1,1,0, , , , , , , , , , , , ,1, , ,2,2,2,1,1,27,1,1,6,3,1,3,3,1,MEXICAN,5.75,1.64809543909284
201767,2,1,4027,4,4,U, ,1,2,2,2,3,1,2,2, , , , ,2, , , , ,2, , ,2,1,3,2,1,82,3,2,1,4,2,1,3,2, ,3.39285714285714,.972478675241115
201771,2,1,55133,55,2,S, ,1,2,2,1,3,1,2,1, , ,4,4,2, , , , ,1, , ,2,3,1,2,1,18,4,2,1,7,4,3,1, , ,5.07142857142857,1.45359970404461
201787,2,1,42007,42,1,S, ,2,2,2,2,0, , , , , , , , , , , , ,2, , ,1,2,1,2,1,58,3,2,1,3,1,3,3,9, ,3.21428571428571,.921295587070531
201795,2,1,4027,4,4,S, ,2,2,2,1,0, , , , , , , , , , , , ,1, , ,1,1,1,2,2,99,3,2,1,99,9,1,1, , ,1.82142857142857,.522067499339967
201796,2,1,32003,32,4,U, ,1,2,2,1,3,1,8,2, , , , ,2, , , , ,1, , ,2,4,1,2,1,20,3,1,1,99,1,1,1, , ,2.71428571428571,.777982940192892
201807,2,1,6071,6,4,U, ,1,1,1,8,3,1,2,2, , , , ,2, , , , ,2, , ,2,4,3,1,1,54,3,1,1,3,1,3,1, , ,3.57142857142857,1.0236617634117
201809,2,1,29171,29,2,R, ,1,2,1,1,0, , , , , , , , , , , , ,1, , ,1,1,3,1,2,40,5,2,1,2,1,1,2, , ,2.03571428571429,.583487205144669
201811,2,1,6017,6,4,S, ,1,2,1,1,7,1,1,1,5, ,4,5,1,1, , , ,1, , ,1,1,1,2,2,37,6,2,1,99,9,1,3,2, ,1.82142857142857,.522067499339967
201814,2,1,4013,4,4,S, ,1,2,1,1,10,1,2,1,1, ,1,5,1,5, , , ,1, , ,1,3,3,2,2,51,8,2,1,9,4,1,2, , ,3.82142857142857,1.09531808685052
201817,2,1,37013,37,3,R, ,1,2,1,1,6,1,2,2, , , , ,1,1, , , ,1, , ,2,2,3,2,2,52,4,2,1,6,3,1,1, , ,4.92857142857143,1.41265323350815
201828,2,1,4013,4,4,U, ,2,2,1,1,1,1,2,2, , , , ,2, , , , ,1, , ,1,4,3,2,1,20,4,1,1,99,9,2,3,1, ,3.35714285714286,.962242057606998
201835,2,1,6067,6,4,S, ,1,1,1,1,6,1,2,1,2,2,5,5,1,1, , , ,1, , ,1,3,2,2,1,26,3,2,1,6,3,3,4,9, ,5.67857142857143,1.6276222038246
201836,2,1,19061,19,2,S, ,1,1,2,2,20,1,2,1, ,4,1,5,1,1, , , ,2, , ,1,2,1,1,1,33,8,2,1,8,4,1,3,1, ,3.46428571428571,.99295191050935
201838,2,1,39025,39,2,S, ,1,1,1,1,10,1,2,1,1,1,4,3,1,5, , , ,1, , ,2,3,3,1,2,23,4,2,1,2,1,2,3,9, ,5.32142857142857,1.52525602748343
201839,2,1,17089,17,2,S, ,1,2,2,1,0, , , , , , , , , , , , ,1, , ,1,2,1,1,1,48,7,2,1,8,4,1,3,2, ,2.60714285714286,.747273087290541
201841,2,1,53077,53,4,U, ,2,2,2,2,1,1,2,2, , , , ,2, , , , ,2, , ,2,1,3,2,2,69,1,1,6,2,1,1,2, ,HISPANIC,3.03571428571429,.870112498899945
201846,2,2,6059,6,4,U, ,1,2,2,1,3,1,2,2, , , , ,1,1, , , ,1, , ,1,3,3,2,2,51,3,1,1,3,1,1,3,1, ,5.67857142857143,1.6276222038246
201851,2,1,48339,48,3,S, ,1,2,2,1,1,1,2,2, , , , ,1,1, , , ,1, , ,2,2,1,2,2,63,3,2,1,4,2,1,1, , ,7.03571428571429,2.01661367392105
201853,2,1,6085,6,4,U, ,1,2,2,2,2,1,2,2, , , , ,2, , , , ,2, , ,1,1,3,2,2,99,4,2,1,4,2,1,3,2, ,2.39285714285714,.685853381485839
201856,2,1,31109,31,2,U, ,2,2,2,1,0, , , , , , , , , , , , ,1, , ,2,1,2,2,1,25,3,2,1,3,1,1,3,9, ,6.5,1.8630644094093
201870,2,1,40027,40,3,S, ,1,1,1,1,0, , , , , , , , , , , , ,1, , ,1,2,1,1,1,43,2,2,9,5,2,3,1, , ,5.03571428571429,1.4433630864105
201878,2,1,1069,1,3,S, ,1,2,2,2,12,1,2,2, , , , ,1,1, , , ,2, , ,1,3,1,9,1,60,2,9,9,99,9,1,3,9, ,3.71428571428571,1.06460823394817
201889,2,1,30029,30,4,R, ,1,2,2,1,12,1,2,2, , , , ,2, , , , ,1, , ,1,2,3,2,2,69,3,2,1,6,3,1,3,1, ,2.39285714285714,.685853381485839
201897,2,1,41047,41,4,U, ,1,2,2,2,0, , , , , , , , , , , , ,2, , ,2,3,1,2,2,50,3,2,1,6,3,1,2, , ,7.96428571428571,2.28276573240809
201903,2,1,41053,41,4,S, ,2,2,1,2,6,1,1,2, , , , ,2, , , , ,2, , ,2,2,3,2,1,69,6,2,1,6,3,1,3,1, ,1.92857142857143,.552777352242318
201907,2,1,6037,6,4,U, ,1,2,1,1,0, , , , , , , , , , , , ,1, , ,1,2,1,2,1,50,4,2,1,7,4,3,2, , ,5.78571428571429,1.65833205672695
201908,2,2,6021,6,4,R, ,1,9,1,2,98, , , , , , , , , , , , ,2, , ,1,3,3,1,2,43,1,1,9,2,1,3,4,9, ,4.60714285714286,1.32052367480109
201909,2,1,21227,21,3,U, ,2,2,2,2,0, , , , , , , , , , , , ,2, , ,2,1,3,2,1,60,9,9,1,1,1,3,3,9, ,5,1.43312646877638
201917,2,1,12071,12,3,S, ,1,2,2,1,1,1,2,2, , , , ,2, , , , ,1, , ,1,1,3,2,1,70,6,2,1,6,3,3,3,2, ,1,.286625293755276
201932,2,1,53073,53,4,S, ,2,1,1,1,5,1,2,1,5,5, ,5,2, , , , ,1, , ,1,2,1,1,2,44,5,2,1,9,4,1,1, , ,3.82142857142857,1.09531808685052
201935,2,1,27109,27,2,S, ,1,2,1,1,5,2,1,1,2, ,5,5,2, , , , ,1, , ,2,4,1,2,2,43,8,2,1,8,4,1,1, , ,5.57142857142857,1.59691235092225
201938,2,1,20173,20,2,U, ,1,1,1,1,5,1,1,2, , , , ,1,1, , , ,1, , ,2,2,1,1,1,38,6,2,1,6,3,1,1, , ,6,1.71975176253166
201944,2,1,48085,48,3,S, ,1,1,1,1,5,1,2,1,3,3,5,5,2, , , , ,1, , ,2,3,2,2,1,22,4,2,1,8,4,3,9,9, ,5.82142857142857,1.66856867436107
201951,2,1,53033,53,4,S, ,2,2,2,1,75,1,1,2, , , , ,1,1, , , ,1, , ,2,2,1,1,1,35,3,2,2,6,3,1,4,9, ,7.96428571428571,2.28276573240809
201954,2,1,22041,22,3,R, ,2,2,2,2,0, , , , , , , , , , , , ,2, , ,2,2,1,2,2,62,3,2,1,2,1,1,2, , ,5.32142857142857,1.52525602748343
201956,2,1,29103,29,2,R, ,1,2,1,2,0, , , , , , , , , , , , ,2, , ,2,2,1,2,1,32,3,2,1,4,2,3,1, , ,4.85714285714286,1.39217999823991
201964,2,1,6073,6,4,S, ,2,2,2,1,5,1,2,2, , , , ,2, , , , ,1, , ,2,2,1,2,1,19,3,2,1,1,1,1,1, , ,3.53571428571429,1.01342514577758
201966,2,1,20085,20,2,S, ,1,1,1,1,10,1,1,1,5,2,5,5,2, , , , ,1, , ,1,2,3,2,2,64,8,2,1,5,2,1,2, , ,1.14285714285714,.327571764291744
201968,2,1,22083,22,3,R, ,2,2,2,2,5,1,2,2, , , , ,2, , , , ,2, , ,1,2,3,2,1,72,3,2,1,5,2,1,3,1, ,1.96428571428571,.563013969876435
201978,2,1,29077,29,2,U, ,9,9,2,2,10,1,2,1, , , ,5,2, , , , ,2, , ,2,1,1,2,1,99,6,2,1,99,1,3,3,1, ,2.67857142857143,.767746322558775
201983,2,1,19119,19,2,R, ,2,2,2,2,12,1,2,2, , , , ,1,1, , , ,2, , ,2,1,1,2,2,40,5,2,1,3,1,1,3,1, ,5.42857142857143,1.55596588038578
201989,2,1,21089,21,3,S, ,1,1,1,1,97,1,2,1,5,1,5,5,1,1, , , ,1, , ,2,4,1,2,2,63,5,2,1,8,4,1,2, , ,4.35714285714286,1.24886735136227
201996,2,1,51001,51,3,R, ,1,1,1,2,15,1,2,1,5,2,5,5,2, , , , ,2, , ,1,2,3,2,1,61,3,2,1,6,3,1,1, , ,2.21428571428571,.634670293315254
202000,2,1,13059,13,3,U, ,1,2,1,1,5,1,2,2, , , , ,1,1, , , ,1, , ,2,2,1,2,1,55,8,9,1,9,4,1,3,9, ,2.85714285714286,.818929410729361
202016,2,1,18151,18,2,R, ,1,1,1,1,8,1,2,2, , , , ,1,1, , , ,1, , ,1,2,3,2,2,71,4,2,1,6,3,1,1, , ,1.67857142857143,.481121028803499
202017,2,1,26065,26,2,S, ,1,1,1,1,3,2,2,1,5,3,5,5,2, , , , ,1, , ,2,3,1,2,2,56,5,2,1,6,3,1,2, , ,3.78571428571429,1.0850814692164
202024,2,1,39045,39,2,S, ,1,2,1,1,1,1,2,2, , , , ,2, , , , ,1, , ,1,2,3,2,1,61,3,2,1,99,9,1,1, , ,2.60714285714286,.747273087290541
202025,2,1,49025,49,4,R, ,1,2,2,2,0, , , , , , , , , , , , ,2, , ,2,2,1,2,2,50,3,2,1,3,1,9,2, , ,6.57142857142857,1.88353764467753
202036,2,1,39049,39,2,U, ,1,1,1,1,25,1,2,2, , , , ,1,1, , , ,1, , ,1,2,2,2,1,72,8,2,1,99,9,1,1, , ,1.5,.429937940632914
202042,2,1,13121,13,3,U, ,1,2,2,2,0, , , , , , , , , , , , ,2, , ,1,2,3,2,1,74,3,2,2,5,2,3,2, , ,2.57142857142857,.737036469656425
202052,2,1,54109,54,3,R, ,1,2,2,2,2,1,2,2, , , , ,2, , , , ,2, , ,1,2,3,2,1,67,8,2,1,7,4,1,1, , ,1.10714285714286,.317335146657627
202059,2,1,26125,26,2,S, ,1,2,1,2,4,1,1,1,3, ,3,5,2, , , , ,2, , ,2,2,1,2,1,59,3,2,1,99,4,3,4,1, ,4.39285714285714,1.25910396899639
202063,2,1,6073,6,4,U, ,1,2,1,1,6,1,1,1,4, ,5,5,1,1, , , ,1, , ,2,3,1,2,2,28,8,2,1,5,2,3,3,2, ,6.53571428571429,1.87330102704341
202068,2,1,48167,48,3,S, ,1,1,9,1,0, , , , , , , , , , , , ,1, , ,2,3,3,2,1,69,4,2,1,2,1,1,1, , ,4.53571428571429,1.30005043953286
202073,2,1,40109,40,3,U, ,2,2,2,2,0, , , , , , , , , , , , ,2, , ,1,1,2,2,2,66,6,2,3,1,1,9,3,9, ,1,.286625293755276
202075,2,2,17043,17,2,S, ,1,2,1,2,13,1,1,2, , , , ,1,1, , , ,2, , ,2,4,1,1,1,36,1,1,6,4,2,3,3,2,HISPANIC,6.53571428571429,1.87330102704341
202078,2,1,4027,4,4,U, ,1,2,2,1,5,1,1,2, , , , ,1,1, , , ,1, , ,2,1,3,2,2,65,2,2,1,2,1,1,1, , ,4.03571428571429,1.15673779265522
202086,2,1,48215,48,3,U, ,1,2,2,1,3,1,2,2, , , , ,2, , , , ,1, , ,2,3,2,2,2,62,6,1,1,3,1,1,2, , ,2.21428571428571,.634670293315254
